SAMPLE_ID,Study_ID,Latitude,Longitude,Species,RiverSystem,COMPOUND,UNIT,CONC_FOUND (ng/g ww),Sampling Date,% Lipids,pcb_uggwet,pcb_ugglw_sample,pcb_ugglw_1,effect-mort ww,effect-mort lipid-sample specific,effect-mort lipid - 1%,Composite_Count
21RW01-TW_W01,WDFW_LEGACY 2021,47.1568,-121.653061,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/17/2021,1.6,0.01,0.625,1,-27.18,-17.04105162,-12.53,6
21RW02-TW_W01,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,4/30/2021,1.6,0.01,0.625,1,-27.18,-17.04105162,-12.53,10
21WML01-TW_W02,WDFW_LEGACY 2021,47.26912,-122.423925,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,7/7/2021,1.8,0.011,0.611111111,1.1,-26.26522166,-17.25674402,-11.61522166,5
21CBE01-TW_W01,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,5/20/2021,2,0.012,0.6,1.2,-25.43009446,-17.43285737,-10.78009446,4
21WMD01-TW_H01,WDFW_LEGACY 2021,47.26144,-122.43021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,4/23/2021,2.7,0.016,0.592592593,1.6,-22.66894838,-17.55208757,-8.018948383,6
21CBE01-TW_H02,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),21,5/20/2021,3.6,0.021,0.583333333,2.1,-20.05895359,-17.70323885,-5.408953586,5
21WML01-TW_H02,WDFW_LEGACY 2021,47.26912,-122.423925,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,7/7/2021,2.1,0.012,0.571428571,1.2,-25.43009446,-17.90114088,-10.78009446,3
21WTH01-TW_H02,WDFW_LEGACY 2021,47.241858,-122.431739,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),15,6/4/2021,2.7,0.015,0.555555556,1.5,-23.28838317,-18.17152236,-8.638383175,3
13HYLE1-TW03,WDFW_LEGACY 2013,47.29479,-122.42087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,6/12/2013,4.614415494,0.025,0.541780428,2.5,-18.38552581,-18.41250481,-3.735525808,6
21WTH01-TW_H01,WDFW_LEGACY 2021,47.241858,-122.431739,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,6/4/2021,2.4,0.013,0.541666667,1.3,-24.66185191,-18.41452036,-10.01185191,4
